ID,area,quartos,suites,vagas,preco
355850.00,65.00,2.00,2.00,2.00,450000.00
304853.00,66.20,2.00,1.00,2.00,456000.00
304880.00,66.20,2.00,1.00,2.00,456000.00
304882.00,66.20,2.00,1.00,2.00,456000.00
304884.00,66.20,2.00,1.00,2.00,456000.00
387428.00,66.20,2.00,1.00,2.00,456000.00
387431.00,66.20,2.00,1.00,2.00,456000.00
387432.00,66.20,2.00,1.00,2.00,456000.00
387433.00,66.20,2.00,1.00,2.00,456000.00
354573.00,80.79,2.00,0.00,1.00,458000.00
367520.00,80.00,3.00,1.00,1.00,460000.00
304904.00,66.20,2.00,1.00,2.00,468000.00
341840.00,70.00,2.00,2.00,2.00,470000.00
341841.00,70.00,2.00,2.00,2.00,470000.00
304922.00,66.20,2.00,1.00,2.00,479000.00
304923.00,66.20,2.00,1.00,2.00,479000.00
304924.00,66.20,2.00,1.00,2.00,479000.00
304928.00,66.20,2.00,1.00,2.00,479000.00
304930.00,66.20,2.00,1.00,2.00,479000.00
304901.00,66.20,2.00,1.00,2.00,479000.00
341843.00,70.00,2.00,2.00,2.00,480000.00
341839.00,70.00,2.00,2.00,2.00,480000.00
341837.00,70.00,2.00,2.00,2.00,490000.00
304936.00,66.20,2.00,1.00,2.00,493000.00
304945.00,66.20,2.00,1.00,2.00,493000.00
304947.00,66.20,2.00,1.00,2.00,493000.00
371731.00,81.99,2.00,1.00,2.00,494885.00
356182.00,67.00,2.00,1.00,2.00,496823.37
371735.00,81.99,2.00,1.00,2.00,499783.00
381711.00,70.00,2.00,2.00,2.00,500000.00
367196.00,72.24,2.00,2.00,2.00,500000.00
341845.00,70.00,2.00,2.00,2.00,510000.00
151387.00,81.99,2.00,1.00,2.00,514565.00
371737.00,81.99,2.00,1.00,2.00,524892.00
341847.00,70.00,2.00,2.00,2.00,550000.00
341846.00,70.00,2.00,2.00,2.00,620000.00
378182.00,115.00,3.00,1.00,2.00,750000.00
